vt_symbol,direction,offset,price,volume,datetime
688256.SSE,Long,Open,700.0,100,2025-08-01 00:00:00
688502.SSE,Long,Open,328.5,300,2025-08-01 00:00:00
920942.BSE,Long,Open,57.0,1700,2025-08-01 00:00:00
920942.BSE,Short,Close,53.0,1700,2025-08-06 00:00:00
688585.SSE,Long,Open,88.88,1100,2025-08-07 00:00:00
688256.SSE,Short,Close,691.0,100,2025-08-08 00:00:00
688502.SSE,Short,Close,354.01,300,2025-08-08 00:00:00
301357.SZSE,Long,Open,140.03,700,2025-08-11 00:00:00
301489.SZSE,Long,Open,138.4,700,2025-08-11 00:00:00
301357.SZSE,Short,Close,158.4,700,2025-08-12 00:00:00
301357.SZSE,Long,Open,150.0,600,2025-08-13 00:00:00
301489.SZSE,Short,Close,155.01,700,2025-08-14 00:00:00
688585.SSE,Short,Close,88.24,1100,2025-08-14 00:00:00
603129.SSE,Long,Open,268.23,300,2025-08-15 00:00:00
688256.SSE,Long,Open,923.0,100,2025-08-15 00:00:00
301357.SZSE,Short,Close,164.5,600,2025-08-19 00:00:00
300870.SZSE,Long,Open,244.0,300,2025-08-20 00:00:00
603129.SSE,Short,Close,279.0,300,2025-08-22 00:00:00
688256.SSE,Short,Close,1075.0,100,2025-08-22 00:00:00
688775.SSE,Long,Open,269.0,300,2025-08-25 00:00:00
300033.SZSE,Long,Open,398.3,200,2025-08-26 00:00:00
300870.SZSE,Short,Close,241.0,300,2025-08-27 00:00:00
688502.SSE,Long,Open,410.01,200,2025-08-28 00:00:00
688775.SSE,Short,Close,298.5,300,2025-08-28 00:00:00
300757.SZSE,Long,Open,288.03,300,2025-08-29 00:00:00
688502.SSE,Short,Close,461.8,200,2025-08-29 00:00:00
300308.SZSE,Long,Open,372.75,200,2025-09-01 00:00:00
300033.SZSE,Short,Close,394.11,200,2025-09-02 00:00:00
300308.SZSE,Short,Close,402.02,200,2025-09-02 00:00:00
300308.SZSE,Long,Open,392.0,200,2025-09-03 00:00:00
300502.SZSE,Long,Open,355.0,200,2025-09-03 00:00:00
300757.SZSE,Short,Close,240.88,300,2025-09-03 00:00:00
300308.SZSE,Short,Close,436.0,200,2025-09-04 00:00:00
300308.SZSE,Long,Open,378.02,200,2025-09-05 00:00:00
300502.SZSE,Short,Close,321.0,200,2025-09-05 00:00:00
300308.SZSE,Short,Close,394.0,200,2025-09-08 00:00:00
688235.SSE,Long,Open,320.0,300,2025-09-08 00:00:00
688498.SSE,Long,Open,370.0,200,2025-09-08 00:00:00
300308.SZSE,Long,Open,365.02,200,2025-09-09 00:00:00
688498.SSE,Short,Close,320.0,200,2025-09-09 00:00:00
688498.SSE,Long,Open,339.8,300,2025-09-10 00:00:00
300308.SZSE,Short,Close,417.0,200,2025-09-12 00:00:00
688498.SSE,Short,Close,365.02,300,2025-09-12 00:00:00
301662.SZSE,Long,Open,144.57,600,2025-09-15 00:00:00
688235.SSE,Short,Close,311.93,300,2025-09-15 00:00:00
688411.SSE,Long,Open,191.0,500,2025-09-15 00:00:00
603444.SSE,Long,Open,542.78,100,2025-09-16 00:00:00
688411.SSE,Short,Close,208.6,500,2025-09-17 00:00:00
300476.SZSE,Long,Open,323.33,200,2025-09-18 00:00:00
301662.SZSE,Short,Close,137.87,600,2025-09-22 00:00:00
300476.SZSE,Short,Close,333.0,200,2025-09-23 00:00:00
301488.SZSE,Long,Open,179.0,500,2025-09-23 00:00:00
603444.SSE,Short,Close,556.43,100,2025-09-23 00:00:00
688027.SSE,Long,Open,342.98,200,2025-09-24 00:00:00
688279.SSE,Long,Open,246.98,400,2025-09-24 00:00:00
301488.SZSE,Short,Close,175.02,500,2025-09-26 00:00:00
301629.SZSE,Long,Open,219.09,400,2025-09-29 00:00:00
688279.SSE,Short,Close,230.7,400,2025-09-29 00:00:00
688411.SSE,Long,Open,311.06,300,2025-09-30 00:00:00
688027.SSE,Short,Close,373.0,200,2025-10-09 00:00:00
002371.SZSE,Long,Open,449.97,200,2025-10-10 00:00:00
301629.SZSE,Short,Close,192.33,400,2025-10-13 00:00:00
688411.SSE,Short,Close,280.0,300,2025-10-13 00:00:00
688109.SSE,Long,Open,121.0,800,2025-10-14 00:00:00
688411.SSE,Long,Open,300.0,300,2025-10-14 00:00:00
002371.SZSE,Short,Close,405.5,200,2025-10-15 00:00:00
688109.SSE,Short,Close,104.0,800,2025-10-15 00:00:00
688109.SSE,Long,Open,115.0,800,2025-10-16 00:00:00
688691.SSE,Long,Open,144.0,600,2025-10-16 00:00:00
688411.SSE,Short,Close,277.49,300,2025-10-20 00:00:00
