vt_symbol,entry_datetime,exit_datetime,entry_price,exit_price,volume,holding_calendar_days,holding_trading_days,gross_return,gross_pnl,reason,status
000851.SZSE,2025-08-01 00:00:00,2025-08-06 00:00:00,2.11,2.3,234700.0,5.0,3.0,0.09004739336492884,44592.999999999985,,closed
603888.SSE,2025-08-01 00:00:00,2025-08-06 00:00:00,19.14,19.5,26100.0,5.0,3.0,0.01880877742946696,9395.999999999985,,closed
301161.SZSE,2025-08-07 00:00:00,2025-08-11 00:00:00,34.4,38.3,14500.0,4.0,2.0,0.1133720930232558,56549.99999999998,,closed
301201.SZSE,2025-08-07 00:00:00,2025-08-12 00:00:00,27.8,29.81,18000.0,5.0,3.0,0.07230215827338116,36179.99999999996,,closed
603051.SSE,2025-08-12 00:00:00,2025-08-15 00:00:00,20.65,19.95,24200.0,3.0,3.0,-0.03389830508474578,-16939.99999999998,,closed
920706.BSE,2025-08-13 00:00:00,2025-08-15 00:00:00,28.8,27.0,17500.0,2.0,2.0,-0.0625,-31500.00000000001,,closed
605299.SSE,2025-08-18 00:00:00,2025-08-21 00:00:00,9.81,9.86,50700.0,3.0,3.0,0.0050968399592252744,2534.999999999946,,closed
920407.BSE,2025-08-18 00:00:00,2025-08-21 00:00:00,18.78,19.96,27300.0,3.0,3.0,0.06283280085197007,32213.999999999993,,closed
600246.SSE,2025-08-22 00:00:00,2025-08-25 00:00:00,11.61,12.77,47300.0,3.0,1.0,0.09991386735572783,54868.00000000001,,closed
300708.SZSE,2025-08-22 00:00:00,2025-08-27 00:00:00,9.39,9.37,53100.0,5.0,3.0,-0.0021299254526092604,-1062.0000000000716,,closed
605378.SSE,2025-08-26 00:00:00,2025-08-28 00:00:00,26.36,24.87,18800.0,2.0,2.0,-0.056525037936267064,-28011.99999999997,,closed
301479.SZSE,2025-08-28 00:00:00,2025-09-02 00:00:00,102.23,101.0,4800.0,5.0,3.0,-0.012031693240731722,-5904.000000000019,,closed
300126.SZSE,2025-08-29 00:00:00,2025-09-03 00:00:00,7.14,7.19,70100.0,5.0,3.0,0.0070028011204483764,3505.00000000005,,closed
300499.SZSE,2025-09-04 00:00:00,2025-09-05 00:00:00,29.82,28.1,16700.0,1.0,1.0,-0.057679409792085856,-28723.99999999998,,closed
605009.SSE,2025-09-03 00:00:00,2025-09-08 00:00:00,34.56,34.23,14400.0,5.0,3.0,-0.009548611111111271,-4752.000000000078,,closed
688448.SSE,2025-09-09 00:00:00,2025-09-10 00:00:00,46.64,43.9,10700.0,1.0,1.0,-0.05874785591766729,-29318.000000000022,,closed
300553.SZSE,2025-09-08 00:00:00,2025-09-11 00:00:00,37.92,40.33,13100.0,3.0,3.0,0.06355485232067504,31570.999999999956,,closed
000851.SZSE,2025-09-12 00:00:00,2025-09-15 00:00:00,0.63,0.6,757500.0,3.0,1.0,-0.04761904761904767,-22725.000000000022,,closed
601606.SSE,2025-09-11 00:00:00,2025-09-16 00:00:00,46.27,48.98,10800.0,5.0,3.0,0.05856926734385115,29267.99999999993,,closed
301357.SZSE,2025-09-16 00:00:00,2025-09-19 00:00:00,131.16,121.61,3800.0,3.0,3.0,-0.07281183287587678,-36289.99999999999,,closed
301205.SZSE,2025-09-17 00:00:00,2025-09-22 00:00:00,107.7,110.5,4500.0,5.0,3.0,0.02599814298978642,12599.999999999987,,closed
000851.SZSE,2025-09-22 00:00:00,2025-09-23 00:00:00,0.46,0.44,1041600.0,1.0,1.0,-0.0434782608695653,-20832.00000000002,,closed
000880.SZSE,2025-09-23 00:00:00,2025-09-26 00:00:00,33.45,34.6,14900.0,3.0,3.0,0.034379671150971625,17134.999999999978,,closed
300152.SZSE,2025-09-24 00:00:00,2025-09-29 00:00:00,2.23,2.23,221200.0,5.0,3.0,0.0,0.0,,closed
300379.SZSE,2025-09-29 00:00:00,2025-09-30 00:00:00,2.41,2.2,204000.0,1.0,1.0,-0.08713692946058094,-42839.99999999999,,closed
688166.SSE,2025-09-30 00:00:00,2025-10-13 00:00:00,61.5,54.85,8400.0,13.0,3.0,-0.10813008130081303,-55859.999999999985,,closed
300205.SZSE,2025-10-09 00:00:00,2025-10-14 00:00:00,4.61,4.62,108400.0,5.0,3.0,0.002169197396963085,1083.9999999999768,,closed
688189.SSE,2025-10-14 00:00:00,2025-10-17 00:00:00,8.04,8.29,62700.0,3.0,3.0,0.031094527363184188,15675.0,,closed
600322.SSE,2025-10-15 00:00:00,2025-10-20 00:00:00,2.61,2.56,193000.0,5.0,3.0,-0.019157088122605304,-9649.999999999965,,closed
688313.SSE,2025-10-21 00:00:00,2025-10-22 00:00:00,58.93,67.5,8400.0,1.0,1.0,0.14542677753266586,71988.0,,closed
300237.SZSE,2025-10-20 00:00:00,2025-10-23 00:00:00,2.45,2.5,200000.0,3.0,3.0,0.020408163265306145,9999.999999999964,,closed
920748.BSE,2025-10-23 00:00:00,2025-10-28 00:00:00,40.8,45.5,12100.0,5.0,3.0,0.11519607843137258,56870.00000000004,,closed
600745.SSE,2025-10-24 00:00:00,2025-10-29 00:00:00,40.8,44.5,12100.0,5.0,3.0,0.09068627450980404,44770.00000000004,,closed
600105.SSE,2025-10-29 00:00:00,2025-10-31 00:00:00,16.09,15.22,31000.0,2.0,2.0,-0.054070851460534475,-26969.999999999975,,closed
300765.SZSE,2025-10-30 00:00:00,2025-11-04 00:00:00,34.68,35.0,14300.0,5.0,3.0,0.009227220299884653,4576.000000000004,,closed
300740.SZSE,2025-11-03 00:00:00,2025-11-06 00:00:00,20.53,20.73,24400.0,3.0,3.0,0.009741841207988378,4879.999999999983,,closed
688496.SSE,2025-11-05 00:00:00,2025-11-10 00:00:00,6.31,6.8,78400.0,5.0,3.0,0.07765451664025358,38416.000000000015,,closed
300897.SZSE,2025-11-07 00:00:00,2025-11-12 00:00:00,25.36,25.47,19700.0,5.0,3.0,0.00433753943217674,2166.9999999999886,,closed
605198.SSE,2025-11-13 00:00:00,2025-11-18 00:00:00,40.82,39.5,12200.0,5.0,3.0,-0.032337089661930385,-16104.000000000004,,closed
300844.SZSE,2025-11-19 00:00:00,2025-11-24 00:00:00,38.79,39.32,12700.0,5.0,3.0,0.013663315287445243,6731.000000000015,,closed
688216.SSE,2025-11-25 00:00:00,2025-11-28 00:00:00,22.11,22.78,22700.0,3.0,3.0,0.030303030303030276,15209.000000000038,,closed
688733.SSE,2025-12-01 00:00:00,2025-12-04 00:00:00,33.69,30.6,15200.0,3.0,3.0,-0.09171861086375765,-46967.99999999994,,closed
300672.SZSE,2025-12-05 00:00:00,2025-12-10 00:00:00,99.55,101.48,5000.0,5.0,3.0,0.01938724259166258,9650.000000000035,,closed
002689.SZSE,2025-12-11 00:00:00,2025-12-12 00:00:00,3.37,3.24,147000.0,1.0,1.0,-0.03857566765578635,-19109.999999999985,,closed
