vt_symbol,direction,offset,price,volume,datetime,reason
300163.SZSE,Short,Close,3.29,97300,2025-08-01 00:00:00,
002715.SZSE,Long,Open,17.43,18900,2025-08-04 00:00:00,
603325.SSE,Short,Close,89.35,3800,2025-08-05 00:00:00,
301259.SZSE,Short,Close,41.79,8600,2025-08-05 00:00:00,
603916.SSE,Long,Open,11.29,29200,2025-08-06 00:00:00,
603325.SSE,Long,Open,88.75,3700,2025-08-06 00:00:00,
002715.SZSE,Short,Close,18.4,18900,2025-08-07 00:00:00,
002534.SZSE,Long,Open,14.25,23900,2025-08-08 00:00:00,
603325.SSE,Short,Close,89.89,3700,2025-08-11 00:00:00,
603916.SSE,Short,Close,11.58,29200,2025-08-11 00:00:00,
002857.SZSE,Long,Open,24.62,13300,2025-08-12 00:00:00,
603051.SSE,Long,Open,20.65,15900,2025-08-12 00:00:00,
002534.SZSE,Short,Close,14.45,23900,2025-08-13 00:00:00,
601696.SSE,Long,Open,16.35,20200,2025-08-14 00:00:00,
002857.SZSE,Short,Close,24.45,13300,2025-08-15 00:00:00,
603051.SSE,Short,Close,19.95,15900,2025-08-15 00:00:00,
601696.SSE,Short,Close,18.0,20200,2025-08-18 00:00:00,
605299.SSE,Long,Open,9.81,33400,2025-08-18 00:00:00,
002317.SZSE,Long,Open,22.53,14600,2025-08-18 00:00:00,
600749.SSE,Long,Open,30.92,11200,2025-08-19 00:00:00,
002317.SZSE,Short,Close,22.74,14600,2025-08-21 00:00:00,
600749.SSE,Short,Close,26.96,11200,2025-08-21 00:00:00,
605299.SSE,Short,Close,9.86,33400,2025-08-21 00:00:00,
002307.SZSE,Long,Open,4.76,69400,2025-08-22 00:00:00,
600246.SSE,Long,Open,11.61,31200,2025-08-22 00:00:00,
600619.SSE,Long,Open,21.07,15500,2025-08-22 00:00:00,
600246.SSE,Short,Close,12.77,31200,2025-08-25 00:00:00,
600619.SSE,Short,Close,23.0,15500,2025-08-26 00:00:00,
601606.SSE,Long,Open,62.26,5300,2025-08-26 00:00:00,
002307.SZSE,Short,Close,4.81,69400,2025-08-27 00:00:00,
002908.SZSE,Long,Open,12.27,27200,2025-08-27 00:00:00,
600110.SSE,Long,Open,6.9,47800,2025-08-28 00:00:00,
002908.SZSE,Short,Close,11.61,27200,2025-08-28 00:00:00,
301211.SZSE,Long,Open,12.48,26300,2025-08-29 00:00:00,
601606.SSE,Short,Close,62.88,5300,2025-08-29 00:00:00,
688179.SSE,Long,Open,13.43,24300,2025-09-01 00:00:00,
600110.SSE,Short,Close,7.5,47800,2025-09-02 00:00:00,
002173.SZSE,Long,Open,23.62,13500,2025-09-03 00:00:00,
301211.SZSE,Short,Close,13.0,26300,2025-09-03 00:00:00,
300684.SZSE,Long,Open,33.3,10100,2025-09-04 00:00:00,
688179.SSE,Short,Close,12.89,24300,2025-09-04 00:00:00,
002189.SZSE,Long,Open,23.1,14200,2025-09-05 00:00:00,
002173.SZSE,Short,Close,22.5,13500,2025-09-08 00:00:00,
300684.SZSE,Short,Close,35.8,10100,2025-09-09 00:00:00,
300591.SZSE,Long,Open,9.75,33800,2025-09-09 00:00:00,
002189.SZSE,Short,Close,23.57,14200,2025-09-10 00:00:00,
300204.SZSE,Long,Open,37.56,8500,2025-09-10 00:00:00,
601606.SSE,Long,Open,46.27,7100,2025-09-11 00:00:00,
300591.SZSE,Short,Close,9.91,33800,2025-09-12 00:00:00,
002174.SZSE,Long,Open,12.0,26900,2025-09-15 00:00:00,
300204.SZSE,Short,Close,40.0,8500,2025-09-15 00:00:00,
301357.SZSE,Long,Open,131.16,2500,2025-09-16 00:00:00,
601606.SSE,Short,Close,48.98,7100,2025-09-16 00:00:00,
301205.SZSE,Long,Open,107.7,3000,2025-09-17 00:00:00,
002174.SZSE,Short,Close,12.52,26900,2025-09-18 00:00:00,
301357.SZSE,Short,Close,121.61,2500,2025-09-19 00:00:00,
300528.SZSE,Long,Open,25.36,12200,2025-09-19 00:00:00,
301205.SZSE,Short,Close,110.5,3000,2025-09-22 00:00:00,
003010.SZSE,Long,Open,43.61,7500,2025-09-22 00:00:00,
000880.SZSE,Long,Open,33.45,9800,2025-09-23 00:00:00,
300528.SZSE,Short,Close,23.8,12200,2025-09-23 00:00:00,
688166.SSE,Long,Open,74.0,4400,2025-09-24 00:00:00,
003010.SZSE,Short,Close,43.25,7500,2025-09-25 00:00:00,
000880.SZSE,Short,Close,34.6,9800,2025-09-26 00:00:00,
002067.SZSE,Long,Open,5.71,56700,2025-09-26 00:00:00,
688166.SSE,Short,Close,66.41,4400,2025-09-26 00:00:00,
002989.SZSE,Long,Open,32.08,10400,2025-09-29 00:00:00,
688166.SSE,Long,Open,59.0,5600,2025-09-29 00:00:00,
002067.SZSE,Short,Close,6.34,56700,2025-10-09 00:00:00,
002989.SZSE,Short,Close,32.07,10400,2025-10-10 00:00:00,
688166.SSE,Short,Close,57.5,5600,2025-10-10 00:00:00,
002545.SZSE,Long,Open,13.53,24100,2025-10-10 00:00:00,
002046.SZSE,Long,Open,24.74,12400,2025-10-13 00:00:00,
002488.SZSE,Long,Open,11.95,26900,2025-10-13 00:00:00,
002488.SZSE,Short,Close,11.38,26900,2025-10-14 00:00:00,
002545.SZSE,Short,Close,14.09,24100,2025-10-15 00:00:00,
600322.SSE,Long,Open,2.61,127400,2025-10-15 00:00:00,
002046.SZSE,Short,Close,28.3,12400,2025-10-16 00:00:00,
002080.SZSE,Long,Open,30.38,10700,2025-10-16 00:00:00,
002046.SZSE,Long,Open,27.06,12200,2025-10-17 00:00:00,
002080.SZSE,Short,Close,29.6,10700,2025-10-20 00:00:00,
600322.SSE,Short,Close,2.56,127400,2025-10-20 00:00:00,
688123.SSE,Long,Open,146.0,2200,2025-10-21 00:00:00,
688359.SSE,Long,Open,57.71,5800,2025-10-21 00:00:00,
002046.SZSE,Short,Close,28.24,12200,2025-10-22 00:00:00,
002575.SZSE,Long,Open,6.55,50000,2025-10-23 00:00:00,
688359.SSE,Short,Close,64.91,5800,2025-10-24 00:00:00,
688123.SSE,Short,Close,158.0,2200,2025-10-24 00:00:00,
002575.SZSE,Short,Close,6.18,50000,2025-10-27 00:00:00,
301190.SZSE,Long,Open,22.92,14400,2025-10-27 00:00:00,
600376.SSE,Long,Open,6.4,52800,2025-10-27 00:00:00,
600376.SSE,Short,Close,7.0,52800,2025-10-28 00:00:00,
688403.SSE,Long,Open,17.65,18300,2025-10-28 00:00:00,
600105.SSE,Long,Open,16.09,20500,2025-10-29 00:00:00,
688403.SSE,Short,Close,16.88,18300,2025-10-29 00:00:00,
301190.SZSE,Short,Close,23.67,14400,2025-10-30 00:00:00,
603863.SSE,Long,Open,21.02,15700,2025-10-30 00:00:00,
301228.SZSE,Long,Open,24.0,13600,2025-10-31 00:00:00,
600105.SSE,Short,Close,15.22,20500,2025-10-31 00:00:00,
300740.SZSE,Long,Open,20.53,16100,2025-11-03 00:00:00,
603863.SSE,Short,Close,20.79,15700,2025-11-04 00:00:00,
301228.SZSE,Short,Close,27.6,13600,2025-11-04 00:00:00,
002203.SZSE,Long,Open,10.7,30600,2025-11-05 00:00:00,
688596.SSE,Long,Open,31.31,10400,2025-11-05 00:00:00,
300740.SZSE,Short,Close,20.73,16100,2025-11-06 00:00:00,
300897.SZSE,Long,Open,25.36,13000,2025-11-07 00:00:00,
002203.SZSE,Short,Close,10.99,30600,2025-11-10 00:00:00,
688596.SSE,Short,Close,31.88,10400,2025-11-10 00:00:00,
300111.SZSE,Long,Open,7.89,41400,2025-11-11 00:00:00,
301205.SZSE,Long,Open,112.88,2900,2025-11-11 00:00:00,
300897.SZSE,Short,Close,25.47,13000,2025-11-12 00:00:00,
300111.SZSE,Short,Close,7.53,41400,2025-11-13 00:00:00,
605198.SSE,Long,Open,40.82,8000,2025-11-13 00:00:00,
601519.SSE,Long,Open,12.74,25500,2025-11-14 00:00:00,
301205.SZSE,Short,Close,103.3,2900,2025-11-14 00:00:00,
603151.SSE,Long,Open,19.81,16600,2025-11-17 00:00:00,
605198.SSE,Short,Close,39.5,8000,2025-11-18 00:00:00,
300255.SZSE,Long,Open,57.08,5700,2025-11-19 00:00:00,
601519.SSE,Short,Close,13.1,25500,2025-11-19 00:00:00,
603151.SSE,Short,Close,19.3,16600,2025-11-20 00:00:00,
688095.SSE,Long,Open,98.01,3200,2025-11-20 00:00:00,
600429.SSE,Long,Open,5.43,59700,2025-11-21 00:00:00,
300255.SZSE,Short,Close,57.7,5700,2025-11-24 00:00:00,
688095.SSE,Short,Close,93.0,3200,2025-11-24 00:00:00,
002998.SZSE,Long,Open,7.61,43600,2025-11-25 00:00:00,
688216.SSE,Long,Open,22.11,15000,2025-11-25 00:00:00,
600429.SSE,Short,Close,5.43,59700,2025-11-26 00:00:00,
000048.SZSE,Long,Open,13.77,23800,2025-11-27 00:00:00,
002998.SZSE,Short,Close,7.8,43600,2025-11-28 00:00:00,
688216.SSE,Short,Close,22.78,15000,2025-11-28 00:00:00,
002971.SZSE,Long,Open,32.96,9900,2025-12-01 00:00:00,
603906.SSE,Long,Open,20.89,15800,2025-12-01 00:00:00,
000048.SZSE,Short,Close,13.33,23800,2025-12-02 00:00:00,
603906.SSE,Short,Close,19.76,15800,2025-12-02 00:00:00,
002136.SZSE,Long,Open,13.12,25500,2025-12-03 00:00:00,
300475.SZSE,Long,Open,129.06,2500,2025-12-03 00:00:00,
002971.SZSE,Short,Close,31.79,9900,2025-12-04 00:00:00,
002136.SZSE,Short,Close,12.21,25500,2025-12-05 00:00:00,
300475.SZSE,Short,Close,124.33,2500,2025-12-05 00:00:00,
600829.SSE,Long,Open,12.73,25300,2025-12-05 00:00:00,
002564.SZSE,Long,Open,7.57,42800,2025-12-08 00:00:00,
002208.SZSE,Long,Open,11.62,28300,2025-12-08 00:00:00,
600829.SSE,Short,Close,12.51,25300,2025-12-10 00:00:00,
001296.SZSE,Long,Open,26.58,12400,2025-12-11 00:00:00,
002208.SZSE,Short,Close,11.8,28300,2025-12-11 00:00:00,
002564.SZSE,Short,Close,7.5,42800,2025-12-11 00:00:00,
300918.SZSE,Long,Open,15.23,21500,2025-12-12 00:00:00,
600576.SSE,Long,Open,5.81,56700,2025-12-12 00:00:00,
001296.SZSE,Short,Close,27.83,12400,2025-12-16 00:00:00,
002289.SZSE,Long,Open,25.54,12200,2025-12-17 00:00:00,
300918.SZSE,Short,Close,15.48,21500,2025-12-17 00:00:00,
600576.SSE,Short,Close,5.7,56700,2025-12-17 00:00:00,
600986.SSE,Long,Open,7.19,45400,2025-12-18 00:00:00,
600696.SSE,Long,Open,3.22,97300,2025-12-18 00:00:00,
002289.SZSE,Short,Close,24.26,12200,2025-12-18 00:00:00,
600228.SSE,Long,Open,4.75,68000,2025-12-19 00:00:00,
600696.SSE,Short,Close,3.45,97300,2025-12-23 00:00:00,
600986.SSE,Short,Close,7.33,45400,2025-12-23 00:00:00,
300270.SZSE,Long,Open,11.89,28100,2025-12-24 00:00:00,
600228.SSE,Short,Close,5.11,68000,2025-12-24 00:00:00,
603389.SSE,Long,Open,38.3,8400,2025-12-24 00:00:00,
300179.SZSE,Long,Open,15.63,21100,2025-12-25 00:00:00,
603389.SSE,Short,Close,44.0,8400,2025-12-26 00:00:00,
300270.SZSE,Short,Close,11.52,28100,2025-12-29 00:00:00,
605580.SSE,Long,Open,25.87,12700,2025-12-29 00:00:00,
300179.SZSE,Short,Close,15.43,21100,2025-12-30 00:00:00,
605580.SSE,Short,Close,22.69,12700,2025-12-30 00:00:00,
300111.SZSE,Long,Open,6.32,51600,2025-12-30 00:00:00,
003018.SZSE,Long,Open,16.44,20300,2025-12-31 00:00:00,
605580.SSE,Long,Open,23.39,14200,2025-12-31 00:00:00,
300111.SZSE,Short,Close,6.16,51600,2026-01-05 00:00:00,
605068.SSE,Long,Open,25.82,12700,2026-01-06 00:00:00,
003018.SZSE,Short,Close,16.85,20300,2026-01-07 00:00:00,
605580.SSE,Short,Close,22.8,14200,2026-01-07 00:00:00,
002044.SZSE,Long,Open,5.4,60900,2026-01-08 00:00:00,
002715.SZSE,Long,Open,15.2,21500,2026-01-08 00:00:00,
605068.SSE,Short,Close,26.83,12700,2026-01-09 00:00:00,
002044.SZSE,Short,Close,6.74,60900,2026-01-12 00:00:00,
920510.BSE,Long,Open,19.88,16500,2026-01-12 00:00:00,
300062.SZSE,Long,Open,9.32,35400,2026-01-13 00:00:00,
002715.SZSE,Short,Close,16.35,21500,2026-01-13 00:00:00,
300062.SZSE,Short,Close,10.11,35400,2026-01-14 00:00:00,
603992.SSE,Long,Open,43.05,7600,2026-01-14 00:00:00,
300548.SZSE,Long,Open,126.05,2500,2026-01-15 00:00:00,
920510.BSE,Short,Close,19.75,16500,2026-01-15 00:00:00,
002725.SZSE,Long,Open,15.3,21600,2026-01-16 00:00:00,
603992.SSE,Short,Close,42.76,7600,2026-01-19 00:00:00,
300548.SZSE,Short,Close,136.98,2500,2026-01-20 00:00:00,
603015.SSE,Long,Open,16.2,20300,2026-01-20 00:00:00,
000036.SZSE,Long,Open,5.61,58800,2026-01-21 00:00:00,
002725.SZSE,Short,Close,15.1,21600,2026-01-21 00:00:00,
603015.SSE,Short,Close,14.71,20300,2026-01-21 00:00:00,
300063.SZSE,Long,Open,13.73,24300,2026-01-22 00:00:00,
688258.SSE,Long,Open,131.0,2500,2026-01-22 00:00:00,
000036.SZSE,Short,Close,6.89,58800,2026-01-23 00:00:00,
688258.SSE,Short,Close,154.0,2500,2026-01-26 00:00:00,
688265.SSE,Long,Open,49.06,6700,2026-01-26 00:00:00,
300063.SZSE,Short,Close,14.79,24300,2026-01-26 00:00:00,
301171.SZSE,Long,Open,63.6,5200,2026-01-27 00:00:00,
603929.SSE,Long,Open,137.77,2400,2026-01-27 00:00:00,
603929.SSE,Short,Close,154.0,2400,2026-01-29 00:00:00,
688265.SSE,Short,Close,46.79,6700,2026-01-29 00:00:00,
002364.SZSE,Long,Open,33.26,10000,2026-01-30 00:00:00,
301171.SZSE,Short,Close,67.8,5200,2026-01-30 00:00:00,
603778.SSE,Long,Open,13.82,23800,2026-01-30 00:00:00,
002364.SZSE,Short,Close,30.87,10000,2026-02-02 00:00:00,
603169.SSE,Long,Open,10.39,31700,2026-02-02 00:00:00,
603778.SSE,Short,Close,12.91,23800,2026-02-02 00:00:00,
605255.SSE,Long,Open,133.92,2400,2026-02-03 00:00:00,
688590.SSE,Long,Open,18.4,18100,2026-02-03 00:00:00,
603169.SSE,Short,Close,10.73,31700,2026-02-05 00:00:00,
603039.SSE,Long,Open,54.0,6000,2026-02-06 00:00:00,
605255.SSE,Short,Close,135.4,2400,2026-02-06 00:00:00,
688590.SSE,Short,Close,17.09,18100,2026-02-06 00:00:00,
300164.SZSE,Long,Open,12.41,26100,2026-02-09 00:00:00,
300561.SZSE,Long,Open,13.18,24800,2026-02-09 00:00:00,
603039.SSE,Short,Close,53.13,6000,2026-02-09 00:00:00,
002397.SZSE,Long,Open,4.67,71200,2026-02-10 00:00:00,
300164.SZSE,Short,Close,11.47,26100,2026-02-11 00:00:00,
300561.SZSE,Short,Close,12.81,24800,2026-02-12 00:00:00,
301313.SZSE,Long,Open,34.5,9500,2026-02-12 00:00:00,
002397.SZSE,Short,Close,4.5,71200,2026-02-13 00:00:00,
603588.SSE,Long,Open,10.39,31500,2026-02-13 00:00:00,
000004.SZSE,Long,Open,7.94,39400,2026-02-24 00:00:00,
603588.SSE,Short,Close,11.5,31500,2026-02-25 00:00:00,
000004.SZSE,Short,Close,7.54,39400,2026-02-25 00:00:00,
301313.SZSE,Short,Close,34.35,9500,2026-02-25 00:00:00,
003010.SZSE,Long,Open,31.62,10400,2026-02-26 00:00:00,
300539.SZSE,Long,Open,34.25,9600,2026-02-26 00:00:00,
603171.SSE,Long,Open,60.49,5400,2026-02-26 00:00:00,
003010.SZSE,Short,Close,29.68,10400,2026-03-03 00:00:00,
300539.SZSE,Short,Close,31.83,9600,2026-03-03 00:00:00,
603171.SSE,Short,Close,59.81,5400,2026-03-03 00:00:00,
002259.SZSE,Long,Open,5.65,57200,2026-03-04 00:00:00,
300166.SZSE,Long,Open,12.0,27300,2026-03-04 00:00:00,
603895.SSE,Long,Open,28.8,11500,2026-03-04 00:00:00,
002259.SZSE,Short,Close,5.6,57200,2026-03-05 00:00:00,
688710.SSE,Long,Open,52.29,6200,2026-03-06 00:00:00,
603895.SSE,Short,Close,29.94,11500,2026-03-09 00:00:00,
300166.SZSE,Short,Close,12.4,27300,2026-03-09 00:00:00,
000004.SZSE,Long,Open,5.09,65000,2026-03-10 00:00:00,
605289.SSE,Long,Open,134.96,2400,2026-03-10 00:00:00,
688710.SSE,Short,Close,55.47,6200,2026-03-11 00:00:00,
000004.SZSE,Short,Close,5.87,65000,2026-03-12 00:00:00,
601872.SSE,Long,Open,16.3,20200,2026-03-12 00:00:00,
300164.SZSE,Long,Open,20.35,16700,2026-03-13 00:00:00,
605289.SSE,Short,Close,137.0,2400,2026-03-13 00:00:00,
